dish_name;meal_types;ingredient_name;quantity;unit;agribalyse_match;unit_multiplier
pêches;diner,gouter;pêche fraîche;1;pièce;Pêche, pulpe et peau, crue;150
radis;dejeuner;radis frais;150;g;Radis rouge, cru;1
raisins;dejeuner;raisins frais;150;g;Raisin, cru;1
ratatouille;diner;aubergine;100;g;Aubergine, crue;1
ratatouille;diner;courgette;100;g;Courgette, pulpe et peau, crue;1
ratatouille;diner;poivron rouge;75;g;Poivron rouge, cru;1
ratatouille;diner;tomate;100;g;Tomate, crue;1
ratatouille;diner;oignon;50;g;Oignon, cru;1
ratatouille;diner;ail;5;g;Ail, cru;1
ratatouille;diner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
ratatouille;diner;herbes de Provence;1;g;Herbes de Provence, séchées;1
risotto végétarien;diner;riz arborio;80;g;Riz blanc, cru;1
risotto végétarien;diner;oignon;50;g;Oignon, cru;1
risotto végétarien;diner;carotte;50;g;Carotte, crue;1
risotto végétarien;diner;courgette;50;g;Courgette, pulpe et peau, crue;1
risotto végétarien;diner;bouillon de légumes;250;ml;Bouillon de légumes, déshydraté reconstitué;1000
risotto végétarien;diner;vin blanc sec;50;ml;Vin blanc sec;1000
risotto végétarien;diner;beurre;15;g;Beurre à 82% MG, doux;1
risotto végétarien;diner;fromage râpé (emmental);20;g;Emmental ou emmenthal râpé;1
risotto végétarien;diner;huile d'olive;10;ml;Huile d'olive vierge extra;0.92
riz et dahl de lentilles corail;dejeuner;riz blanc;75;g;Riz blanc, cru;1
riz et dahl de lentilles corail;dejeuner;lentilles corail;50;g;Lentille corail, sèche;1
riz et dahl de lentilles corail;dejeuner;oignon;1;pièce;Oignon, cru;110
riz et dahl de lentilles corail;dejeuner;ail;1;gousse;Ail, cru;1000
riz et dahl de lentilles corail;dejeuner;tomate;1;pièce;Tomate, crue;120
riz et dahl de lentilles corail;dejeuner;curcuma;1;pincée;Curcuma, poudre;1000
riz et dahl de lentilles corail;dejeuner;cumin en poudre;0.5;cuillère à café;Cumin, graine;1000
riz et dahl de lentilles corail;dejeuner;huile ou beurre;10;ml;;1000
riz et ratatouille;diner;riz blanc;75;g;Riz blanc, cru;1
riz et ratatouille;diner;aubergine;100;g;Aubergine, crue;1
riz et ratatouille;diner;courgette;100;g;Courgette, pulpe et peau, crue;1
riz et ratatouille;diner;poivron rouge;75;g;Poivron rouge, cru;1
riz et ratatouille;diner;tomate;100;g;Tomate, crue;1
riz et ratatouille;diner;oignon;50;g;Oignon, cru;1
riz et ratatouille;diner;ail;5;g;Ail, cru;1
riz et ratatouille;diner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
rougail saucisses avec riz;diner;Saucisse;1;pièce;Saucisse de Toulouse, crue;80
rougail saucisses avec riz;diner;Tomate;150;g;Tomate, crue;1
rougail saucisses avec riz;diner;Oignon;50;g;Oignon, cru;1
rougail saucisses avec riz;diner;Ail;5;g;Ail, cru;1
rougail saucisses avec riz;diner;Piment ou poivron rouge;30;g;Poivron rouge, cru;1
rougail saucisses avec riz;diner;Gingembre frais;5;g;Gingembre, racine crue;1
rougail saucisses avec riz;diner;Huile;15;ml;Huile de tournesol;0.92
rougail saucisses avec riz;diner;Riz blanc;60;g;Riz blanc, cru;1
salade;diner;laitue ou salade verte;100;g;Laitue, crue;1
salade;diner;tomate;1;pièce;Tomate, crue;120
salade;diner;concombre;50;g;Concombre, pulpe et peau, cru;1
salade;diner;carotte;50;g;Carotte, crue;1
salade;diner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade;diner;vinaigre blanc;5;ml;Vinaigre;1.01
salade concombres feta;diner;concombre;200;g;Concombre, pulpe et peau, cru;1
salade concombres feta;diner;feta;50;g;Fromage type feta, au lait de vache;1
salade concombres feta;diner;tomate;100;g;Tomate, crue;1
salade concombres feta;diner;oignon rouge;30;g;Oignon, cru;1
salade concombres feta;diner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade concombres feta;diner;vinaigre blanc;10;ml;Vinaigre;1.01
salade de blé;dejeuner;blé concassé ou grains de blé;75;g;Blé tendre entier ou froment, cru;1
salade de blé;dejeuner;tomate;1;pièce;Tomate, crue;120
salade de blé;dejeuner;concombre;0.25;pièce;Concombre, pulpe et peau, cru;300
salade de blé;dejeuner;oignon rouge;0.25;pièce;Oignon, cru;110
salade de blé;dejeuner;persil frais;10;g;Persil, frais;1
salade de blé;dejeuner;menthe fraîche;5;g;Menthe, fraîche;1
salade de blé;dejeuner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de blé;dejeuner;jus de citron;15;ml;Jus de citron, pur jus;1000
salade de concombre;diner;concombre;1;pièce;Concombre, pulpe et peau, cru;300
salade de concombre;diner;oignon;0.25;pièce;Oignon, cru;110
salade de concombre;diner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de concombre;diner;vinaigre blanc;10;ml;Vinaigre;1.01
salade de fruits;gouter;pomme;1;pièce;Pomme, pulpe et peau, crue;150
salade de fruits;gouter;banane;1;pièce;Banane, pulpe, crue;120
salade de fruits;gouter;orange;1;pièce;Orange, pulpe, crue;130
salade de fruits;gouter;raisin;100;g;Raisin, cru;1
salade de fruits;gouter;kiwi;1;pièce;Kiwi, pulpe et graines, cru;75
salade de fruits;gouter;jus de citron;15;ml;Jus de citron, pur jus;1000
salade de lentilles;dejeuner;lentilles corail ou vertes;75;g;Lentille corail, sèche;1
salade de lentilles;dejeuner;tomate;100;g;Tomate, crue;1
salade de lentilles;dejeuner;oignon rouge;30;g;Oignon, cru;1
salade de lentilles;dejeuner;concombre;80;g;Concombre, pulpe et peau, cru;1
salade de lentilles;dejeuner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de lentilles;dejeuner;vinaigre blanc;10;ml;Vinaigre;1.01
salade de lentilles;dejeuner;citron (jus);30;ml;Jus de citron, pur jus;1000
salade de lentilles aux oignons, concombres, tomates, fêta, croutons et lardons;dejeuner;lentilles corail cuites;100;g;Lentille corail, cuite;1
salade de lentilles aux oignons, concombres, tomates, fêta, croutons et lardons;dejeuner;oignon rouge;0.5;pièce;Oignon, cru;110
salade de lentilles aux oignons, concombres, tomates, fêta, croutons et lardons;dejeuner;concombre;150;g;Concombre, pulpe et peau, cru;1
salade de lentilles aux oignons, concombres, tomates, fêta, croutons et lardons;dejeuner;tomate;1;pièce;Tomate, crue;120
salade de lentilles aux oignons, concombres, tomates, fêta, croutons et lardons;dejeuner;fêta;50;g;Fromage type feta, au lait de vache;1
salade de lentilles aux oignons, concombres, tomates, fêta, croutons et lardons;dejeuner;croutons;30;g;Croûtons nature, préemballés;1
salade de lentilles aux oignons, concombres, tomates, fêta, croutons et lardons;dejeuner;lardons;40;g;Lardon nature, cru;1
salade de lentilles aux oignons, concombres, tomates, fêta, croutons et lardons;dejeuner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de lentilles aux oignons, concombres, tomates, fêta, croutons et lardons;dejeuner;vinaigre;5;ml;Vinaigre;1.01
salade de melon et pastèque;dejeuner;melon;200;g;Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru;1
salade de melon et pastèque;dejeuner;pastèque;200;g;Pastèque, pulpe, crue;1
salade de melon et pastèque;dejeuner;jus de citron;15;ml;Jus de citron, pur jus;1000
salade de melon et pastèque;dejeuner;miel;10;g;Miel;1
salade de melon et pastèque;dejeuner;feuilles de menthe fraîche;3;g;Menthe, fraîche;1
salade de perles (maïs, concombres, olives, poivrons);dejeuner;maïs en conserve (égoutté);100;g;Maïs doux, appertisé, égoutté;1
salade de perles (maïs, concombres, olives, poivrons);dejeuner;concombre;100;g;Concombre, pulpe et peau, cru;1
salade de perles (maïs, concombres, olives, poivrons);dejeuner;olives noires;50;g;;1
salade de perles (maïs, concombres, olives, poivrons);dejeuner;poivron rouge;75;g;Poivron rouge, cru;1
salade de perles (maïs, concombres, olives, poivrons);dejeuner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de perles (maïs, concombres, olives, poivrons);dejeuner;vinaigre blanc;10;ml;Vinaigre;1.01
salade de pâtes (concombre, mozzarella, tomate, maïs);dejeuner;Pâtes;80;g;Pâtes sèches standard, crues;1
salade de pâtes (concombre, mozzarella, tomate, maïs);dejeuner;Concombre;100;g;Concombre, pulpe et peau, cru;1
salade de pâtes (concombre, mozzarella, tomate, maïs);dejeuner;Tomate;100;g;Tomate, crue;1
salade de pâtes (concombre, mozzarella, tomate, maïs);dejeuner;Mozzarella;75;g;Mozzarella au lait de vache;1
salade de pâtes (concombre, mozzarella, tomate, maïs);dejeuner;Maïs en conserve;75;g;Maïs doux, appertisé, égoutté;1
salade de pâtes (concombre, mozzarella, tomate, maïs);dejeuner;Huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de pâtes (concombre, mozzarella, tomate, maïs);dejeuner;Vinaigre blanc;10;ml;Vinaigre;1.01
salade de pâtes (fusilli, tomate cerise, pesto, concombre, mozzarella, thon à l'huile);dejeuner;Fusilli (pâtes sèches);80;g;Pâtes sèches standard, crues;1
salade de pâtes (fusilli, tomate cerise, pesto, concombre, mozzarella, thon à l'huile);dejeuner;Tomate cerise;100;g;Tomate cerise, crue;1
salade de pâtes (fusilli, tomate cerise, pesto, concombre, mozzarella, thon à l'huile);dejeuner;Concombre;100;g;Concombre, pulpe et peau, cru;1
salade de pâtes (fusilli, tomate cerise, pesto, concombre, mozzarella, thon à l'huile);dejeuner;Mozzarella fraîche;75;g;Mozzarella au lait de vache;1
salade de pâtes (fusilli, tomate cerise, pesto, concombre, mozzarella, thon à l'huile);dejeuner;Thon à l'huile (conserve);60;g;Thon à l'huile, appertisé, égoutté;1
salade de pâtes (fusilli, tomate cerise, pesto, concombre, mozzarella, thon à l'huile);dejeuner;Pesto;30;g;Sauce pesto, préemballée;1
salade de pâtes (fusilli, tomate cerise, pesto, concombre, mozzarella, thon à l'huile);dejeuner;Huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de pâtes (fusilli, tomate cerise, pesto, concombre, mozzarella, thon à l'huile);dejeuner;Vinaigre;10;ml;Vinaigre;1.01
salade de pâtes (tomates, maïs, mozzarella, concombre, poivron, chou rouge);dejeuner;pâtes (fusilli ou penne);100;g;Pâtes sèches standard, crues;1
salade de pâtes (tomates, maïs, mozzarella, concombre, poivron, chou rouge);dejeuner;tomates;150;g;Tomate, crue;1
salade de pâtes (tomates, maïs, mozzarella, concombre, poivron, chou rouge);dejeuner;maïs (en conserve ou surgelé);100;g;Maïs doux, appertisé, égoutté;1
salade de pâtes (tomates, maïs, mozzarella, concombre, poivron, chou rouge);dejeuner;mozzarella;75;g;Mozzarella au lait de vache;1
salade de pâtes (tomates, maïs, mozzarella, concombre, poivron, chou rouge);dejeuner;concombre;150;g;Concombre, pulpe et peau, cru;1
salade de pâtes (tomates, maïs, mozzarella, concombre, poivron, chou rouge);dejeuner;poivron;100;g;Poivron, vert, jaune ou rouge, cru;1
salade de pâtes (tomates, maïs, mozzarella, concombre, poivron, chou rouge);dejeuner;chou rouge;100;g;Chou rouge, cru;1
salade de pâtes (tomates, maïs, mozzarella, concombre, poivron, chou rouge);dejeuner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de pâtes (tomates, maïs, mozzarella, concombre, poivron, chou rouge);dejeuner;vinaigre blanc ou jus de citron;10;ml;Vinaigre;1.01
salade de riz au concombre, mozzarella, tomate et maïs;dejeuner;riz cuit;150;g;Riz blanc, cuit, non salé;1
salade de riz au concombre, mozzarella, tomate et maïs;dejeuner;concombre;100;g;Concombre, pulpe et peau, cru;1
salade de riz au concombre, mozzarella, tomate et maïs;dejeuner;tomate;100;g;Tomate, crue;1
salade de riz au concombre, mozzarella, tomate et maïs;dejeuner;maïs en conserve;75;g;Maïs doux, appertisé, égoutté;1
salade de riz au concombre, mozzarella, tomate et maïs;dejeuner;mozzarella;75;g;Mozzarella au lait de vache;1
salade de riz au concombre, mozzarella, tomate et maïs;dejeuner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de riz au concombre, mozzarella, tomate et maïs;dejeuner;vinaigre blanc;10;ml;Vinaigre;1.01
salade de riz au thon;dejeuner;riz;75;g;Riz blanc, cru;1
salade de riz au thon;dejeuner;thon en conserve;100;g;Thon, au naturel, appertisé, égoutté;1
salade de riz au thon;dejeuner;tomate;1;pièce;Tomate, crue;120
salade de riz au thon;dejeuner;oignon;0.5;pièce;Oignon, cru;110
salade de riz au thon;dejeuner;cornichon;30;g;;1
salade de riz au thon;dejeuner;maïs en conserve;50;g;Maïs doux, appertisé, égoutté;1
salade de riz au thon;dejeuner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de riz au thon;dejeuner;vinaigre blanc;10;ml;Vinaigre;1.01
salade de tomate;dejeuner,diner;Tomates;200;g;Tomate, crue;1
salade de tomate;dejeuner,diner;Huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade de tomate;dejeuner,diner;Vinaigre;5;ml;Vinaigre;1.01
salade de tomate;dejeuner,diner;Oignon rouge;20;g;Oignon, cru;1
salade grecque;dejeuner;tomates;150;g;Tomate, crue;1
salade grecque;dejeuner;concombre;100;g;Concombre, pulpe et peau, cru;1
salade grecque;dejeuner;oignon rouge;30;g;Oignon, cru;1
salade grecque;dejeuner;olives noires;50;g;;1
salade grecque;dejeuner;fromage feta;60;g;Fromage type feta, au lait de vache;1
salade grecque;dejeuner;huile d'olive;30;ml;Huile d'olive vierge extra;0.92
salade grecque;dejeuner;vinaigre blanc;10;ml;Vinaigre;1.01
salade tomates mozzarella;dejeuner;tomates;150;g;Tomate, crue;1
salade tomates mozzarella;dejeuner;mozzarella;100;g;Mozzarella au lait de vache;1
salade tomates mozzarella;dejeuner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade tomates mozzarella;dejeuner;vinaigre balsamique;5;ml;Vinaigre balsamique;1.01
salade tomates mozzarella;dejeuner;basilic frais;5;g;Basilic, frais;1
salade verte;dejeuner,diner;salade verte (laitue ou batavia);200;g;Laitue, crue;1
salade verte;dejeuner,diner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
salade verte;dejeuner,diner;vinaigre;5;ml;Vinaigre;1.01
sandwich;dejeuner;pain de mie;2;tranche(s);Pain de mie, courant;1000
sandwich;dejeuner;jambon;50;g;Jambon cuit, supérieur, découenné dégraissé;1
sandwich;dejeuner;fromage;30;g;Emmental ou emmenthal;1
sandwich;dejeuner;tomate;50;g;Tomate, crue;1
sandwich;dejeuner;laitue;20;g;Laitue, crue;1
sandwich;dejeuner;beurre ou mayonnaise;10;g;Beurre à 82% MG, doux;1
sandwich fromage à tartiner salade tomate thon;dejeuner;pain de mie;2;tranche(s);Pain de mie, courant;1000
sandwich fromage à tartiner salade tomate thon;dejeuner;fromage à tartiner;30;g;Spécialité fromagère non affinée environ 20% MG, type fromage en barquette à tartiner ou coque fromagère;1
sandwich fromage à tartiner salade tomate thon;dejeuner;thon en conserve;50;g;Thon, au naturel, appertisé, égoutté;1
sandwich fromage à tartiner salade tomate thon;dejeuner;tomate;1;pièce;Tomate, crue;120
sandwich fromage à tartiner salade tomate thon;dejeuner;salade (laitue ou roquette);30;g;Laitue, crue;1
sandwich fromage à tartiner salade tomate thon;dejeuner;mayonnaise;10;g;Mayonnaise (70% MG min.);1
sandwich kebab (pain pita, poulet épicé, salade, tomate, oignon, sauces);diner;pain pita;1;pièce;Pain pita;80
sandwich kebab (pain pita, poulet épicé, salade, tomate, oignon, sauces);diner;poulet (filet);100;g;Poulet, filet, sans peau, cru;1
sandwich kebab (pain pita, poulet épicé, salade, tomate, oignon, sauces);diner;épices kebab (mélange);3;g;;1
sandwich kebab (pain pita, poulet épicé, salade, tomate, oignon, sauces);diner;salade (laitue ou roquette);50;g;Laitue, crue;1
sandwich kebab (pain pita, poulet épicé, salade, tomate, oignon, sauces);diner;tomate;100;g;Tomate, crue;1
sandwich kebab (pain pita, poulet épicé, salade, tomate, oignon, sauces);diner;oignon;50;g;Oignon, cru;1
sandwich kebab (pain pita, poulet épicé, salade, tomate, oignon, sauces);diner;sauce blanche (yaourt/mayonnaise);30;ml;Sauce au yaourt;1000
sandwich kebab (pain pita, poulet épicé, salade, tomate, oignon, sauces);diner;sauce tomate ou harissa;20;ml;Harissa (sauce condimentaire);1000
sandwich kebab (pain pita, poulet épicé, salade, tomate, oignon, sauces);diner;huile d'olive;5;ml;Huile d'olive vierge extra;0.92
saucisse purée;dejeuner;saucisse de Strasbourg ou saucisse fumée;1;pièce;Saucisse de Strasbourg ou Knack;35
saucisse purée;dejeuner;pommes de terre;200;g;Pomme de terre, sans peau, crue;1
saucisse purée;dejeuner;beurre;15;g;Beurre à 82% MG, doux;1
saucisse purée;dejeuner;lait;50;ml;Lait demi-écrémé, UHT;1.03
saucisses avec pommes de terre rissolées et courgettes;diner;saucisse;1;pièce;Saucisse de Toulouse, crue;80
saucisses avec pommes de terre rissolées et courgettes;diner;pomme de terre;200;g;Pomme de terre, sans peau, crue;1
saucisses avec pommes de terre rissolées et courgettes;diner;courgette;150;g;Courgette, pulpe et peau, crue;1
saucisses avec pommes de terre rissolées et courgettes;diner;huile;15;ml;;1000
soupe;diner;bouillon de légumes (cube ou poudre);1;pièce;Bouillon de légumes, déshydraté reconstitué;1000
soupe;diner;carotte;0.5;pièce;Carotte, crue;70
soupe;diner;pomme de terre;100;g;Pomme de terre, sans peau, crue;1
soupe;diner;oignon;0.25;pièce;Oignon, cru;110
spaghetti bolognaise;diner;spaghetti;100;g;Pâtes sèches standard, crues;1
spaghetti bolognaise;diner;viande hachée de bœuf;150;g;Bœuf, steak haché 15% MG, cru;1
spaghetti bolognaise;diner;tomate concassée en boîte;200;ml;Tomate, pulpe, appertisée;1000
spaghetti bolognaise;diner;oignon;50;g;Oignon, cru;1
spaghetti bolognaise;diner;ail;5;g;Ail, cru;1
spaghetti bolognaise;diner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
taboulé;dejeuner;semoule fine;75;g;Semoule de blé dur, crue;1
taboulé;dejeuner;tomate;1;pièce;Tomate, crue;120
taboulé;dejeuner;concombre;0.25;pièce;Concombre, pulpe et peau, cru;300
taboulé;dejeuner;oignon;0.5;pièce;Oignon, cru;110
taboulé;dejeuner;persil frais;30;g;Persil, frais;1
taboulé;dejeuner;menthe fraîche;15;g;Menthe, fraîche;1
taboulé;dejeuner;huile d'olive;20;ml;Huile d'olive vierge extra;0.92
taboulé;dejeuner;jus de citron;15;ml;Jus de citron, pur jus;1000
taboulé à la fêta, tomates, oignons, poivrons et herbes;dejeuner;Semoule de couscous;75;g;Couscous (semoule de blé dur roulée précuite à la vapeur), crue;1
taboulé à la fêta, tomates, oignons, poivrons et herbes;dejeuner;Tomates;150;g;Tomate, crue;1
taboulé à la fêta, tomates, oignons, poivrons et herbes;dejeuner;Oignon rouge;50;g;Oignon, cru;1
taboulé à la fêta, tomates, oignons, poivrons et herbes;dejeuner;Poivron rouge;100;g;Poivron rouge, cru;1
taboulé à la fêta, tomates, oignons, poivrons et herbes;dejeuner;Feta;60;g;Fromage type feta, au lait de vache;1
taboulé à la fêta, tomates, oignons, poivrons et herbes;dejeuner;Persil frais;15;g;Persil, frais;1
taboulé à la fêta, tomates, oignons, poivrons et herbes;dejeuner;Menthe fraîche;10;g;Menthe, fraîche;1
taboulé à la fêta, tomates, oignons, poivrons et herbes;dejeuner;Huile d'olive;15;ml;Huile d'olive vierge extra;0.92
taboulé à la fêta, tomates, oignons, poivrons et herbes;dejeuner;Jus de citron;10;ml;Jus de citron, pur jus;1000
tartines de houmous;dejeuner;pain de mie ou pain complet;2;tranche(s);Pain de mie, courant;1000
tartines de houmous;dejeuner;houmous;50;g;Houmous;1
tartines de houmous;dejeuner;tomate;50;g;Tomate, crue;1
tartines de houmous;dejeuner;concombre;50;g;Concombre, pulpe et peau, cru;1
tartines de houmous;dejeuner;oignon rouge;20;g;Oignon, cru;1
tartines de houmous;dejeuner;persil frais;5;g;Persil, frais;1
thon crème ciboulette;dejeuner;boîte de thon au naturel;1;boîte (environ 200g);Thon, au naturel, appertisé, égoutté;1000
thon crème ciboulette;dejeuner;crème fraîche;100;ml;Crème de lait, 30% MG, épaisse, rayon frais;1.03
thon crème ciboulette;dejeuner;ciboulette fraîche;10;g;Ciboule ou Ciboulette, fraîche;1
thon crème ciboulette;dejeuner;jus de citron;5;ml;Jus de citron, pur jus;1000
tomates;dejeuner;tomates;200;g;Tomate, crue;1
tomates cerises;dejeuner;tomates cerises;150;g;Tomate cerise, crue;1
tomates mozarella;diner;tomate;1;pièce;Tomate, crue;120
tomates mozarella;diner;mozzarella;125;g;Mozzarella au lait de vache;1
tomates mozarella;diner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
tomates mozarella;diner;vinaigre balsamique;10;ml;Vinaigre balsamique;1.01
tomates mozarella;diner;basilic frais;5;g;Basilic, frais;1
tortilla aux œufs et pommes de terre avec courgettes à la crème;diner;œufs;2;pièce;Oeuf, cru;60
tortilla aux œufs et pommes de terre avec courgettes à la crème;diner;pommes de terre;150;g;Pomme de terre, sans peau, crue;1
tortilla aux œufs et pommes de terre avec courgettes à la crème;diner;courgettes;100;g;Courgette, pulpe et peau, crue;1
tortilla aux œufs et pommes de terre avec courgettes à la crème;diner;crème fraîche;50;ml;Crème de lait, 30% MG, épaisse, rayon frais;1.03
tortilla aux œufs et pommes de terre avec courgettes à la crème;diner;oignon;30;g;Oignon, cru;1
tortilla aux œufs et pommes de terre avec courgettes à la crème;diner;huile d'olive;15;ml;Huile d'olive vierge extra;0.92
tzatziki;diner;yaourt nature;150;ml;Yaourt, lait fermenté ou spécialité laitière, nature;1.03
tzatziki;diner;concombre;100;g;Concombre, pulpe et peau, cru;1
tzatziki;diner;ail;1;pièce;Ail, cru;60
tzatziki;diner;jus de citron;15;ml;Jus de citron, pur jus;1000
tzatziki;diner;huile d'olive;5;ml;Huile d'olive vierge extra;0.92
tzatziki;diner;aneth frais (ou herbes de Provence);2;g;Aneth, frais;1
wok de nouilles aux légumes;diner;nouilles chinoises ou nouilles spaghetti;100;g;Pâtes sèches standard, crues;1
wok de nouilles aux légumes;diner;carotte;1;pièce;Carotte, crue;70
wok de nouilles aux légumes;diner;courgette;0.5;pièce;Courgette, pulpe et peau, crue;200
wok de nouilles aux légumes;diner;poivron rouge ou jaune;0.5;pièce;Poivron rouge, cru;150
wok de nouilles aux légumes;diner;oignon;0.5;pièce;Oignon, cru;110
wok de nouilles aux légumes;diner;chou (chou blanc ou chou napa);50;g;Chou blanc, cru;1
wok de nouilles aux légumes;diner;sauce soja;15;ml;Sauce soja, préemballée;1000
wok de nouilles aux légumes;diner;huile végétale;15;ml;;1000
wok de nouilles aux légumes;diner;ail;1;pièce;Ail, cru;60
wraps jambon salade fromage tomate;dejeuner;tortilla (wrap);1;pièce;Tortilla souple (à garnir), à base de blé;40
wraps jambon salade fromage tomate;dejeuner;jambon de Paris;50;g;Jambon cuit, de Paris, découenné dégraissé;1
wraps jambon salade fromage tomate;dejeuner;fromage râpé (emmental ou cheddar);30;g;Emmental ou emmenthal râpé;1
wraps jambon salade fromage tomate;dejeuner;salade verte (laitue ou roquette);30;g;Laitue, crue;1
wraps jambon salade fromage tomate;dejeuner;tomate;1;pièce;Tomate, crue;120
wraps jambon salade fromage tomate;dejeuner;sauce (mayonnaise ou moutarde);15;ml;Mayonnaise (70% MG min.);1000
